Words,Sentences,3+ Syll,Magazine,Ed Level
205,9,34,Scientific American,high
203,20,21,Scientific American,high
229,18,37,Scientific American,high
208,16,31,Scientific American,high
146,9,10,Scientific American,high
230,16,24,Scientific American,high
215,16,39,Fortune,high
153,9,10,Fortune,high
205,11,17,Fortune,high
80,13,18,Fortune,high
208,22,32,Fortune,high
89,16,17,Fortune,high
49,5,3,New Yorker,high
93,18,10,New Yorker,high
46,6,6,New Yorker,high
34,6,5,New Yorker,high
39,5,6,New Yorker,high
88,12,6,New Yorker,high
191,25,13,Sports Illustrated,medium
219,17,22,Sports Illustrated,medium
205,23,25,Sports Illustrated,medium
57,7,3,Sports Illustrated,medium
105,10,5,Sports Illustrated,medium
109,9,2,Sports Illustrated,medium
82,10,9,Newsweek,medium
88,10,3,Newsweek,medium
39,5,0,Newsweek,medium
94,11,4,Newsweek,medium
206,18,29,Newsweek,medium
197,18,26,Newsweek,medium
68,9,5,People,medium
44,9,5,People,medium
203,17,24,People,medium
139,13,15,People,medium
72,11,3,People,medium
67,7,8,People,medium
162,14,16,National,low
31,6,9,National,low
85,11,10,National,low
111,12,3,National,low
88,11,12,National,low
60,15,10,National,low
97,6,10,Grit,low
169,12,11,Grit,low
78,14,12,Grit,low
68,11,13,Grit,low
32,4,1,Grit,low
50,9,9,Grit,low
208,18,43,True Confessions,low
81,12,13,True Confessions,low
83,12,14,True Confessions,low
195,17,32,True Confessions,low
111,11,24,True Confessions,low
208,20,15,True Confessions,low
