"","Words","X3..Syll","rat"
"1",205,34,0.165853658536585
"2",203,21,0.103448275862069
"3",229,37,0.161572052401747
"4",208,31,0.149038461538462
"5",146,10,0.0684931506849315
"6",230,24,0.104347826086957
"7",215,39,0.181395348837209
"8",153,10,0.065359477124183
"9",205,17,0.0829268292682927
"10",80,18,0.225
"11",208,32,0.153846153846154
"12",89,17,0.191011235955056
"13",49,3,0.0612244897959184
"14",93,10,0.10752688172043
"15",46,6,0.130434782608696
"16",34,5,0.147058823529412
"17",39,6,0.153846153846154
"18",88,6,0.0681818181818182
"19",191,13,0.0680628272251309
"20",219,22,0.100456621004566
"21",205,25,0.121951219512195
"22",57,3,0.0526315789473684
"23",105,5,0.0476190476190476
"24",109,2,0.018348623853211
"25",82,9,0.109756097560976
"26",88,3,0.0340909090909091
"27",39,0,0
"28",94,4,0.0425531914893617
"29",206,29,0.140776699029126
"30",197,26,0.131979695431472
"31",68,5,0.0735294117647059
"32",44,5,0.113636363636364
"33",203,24,0.118226600985222
"34",139,15,0.107913669064748
"35",72,3,0.0416666666666667
"36",67,8,0.119402985074627
"37",162,16,0.0987654320987654
"38",31,9,0.290322580645161
"39",85,10,0.117647058823529
"40",111,3,0.027027027027027
"41",88,12,0.136363636363636
"42",60,10,0.166666666666667
"43",97,10,0.103092783505155
"44",169,11,0.0650887573964497
"45",78,12,0.153846153846154
"46",68,13,0.191176470588235
"47",32,1,0.03125
"48",50,9,0.18
"49",208,43,0.206730769230769
"50",81,13,0.160493827160494
"51",83,14,0.168674698795181
"52",195,32,0.164102564102564
"53",111,24,0.216216216216216
"54",208,15,0.0721153846153846
