City,JanTemp,Lat,Long,Eastern
"Mobile,AL",44,31.2,88.5,Y
"Montgomery,AL",38,32.9,86.8,Y
"Phoenix,AZ",35,33.6,112.5,N
"Little_Rock,AR",31,35.4,92.8,N
"Los_Angeles,CA",47,34.3,118.7,N
"San_Francisco,CA",42,38.4,123,N
"Denver,CO",15,40.7,105.3,N
"New_Haven,CT",22,41.7,73.4,Y
"Wilmington,DE",26,40.5,76.3,Y
"Washington,DC",30,39.7,77.5,Y
"Jacksonville,FL",45,31,82.3,Y
"Key_West,FL",65,25,82,Y
"Miami,FL",58,26.3,80.7,Y
"Atlanta,GA",37,33.9,85,Y
"Boise,ID",22,43.7,117.1,N
"Chicago,IL",19,42.3,88,Y
"Indianapolis,IN",21,39.8,86.9,Y
"Des_Moines,IA",11,41.8,93.6,N
"Wichita,KS",22,38.1,97.6,N
"Louisville,KY",27,39,86.5,Y
"New_Orleans,LA",45,30.8,90.2,N
"Portland,ME",12,44.2,70.5,Y
"Baltimore,MD",25,39.7,77.3,Y
"Boston,MA",23,42.7,71.4,Y
"Detroit,MI",21,43.1,83.9,N
"Minneapolis,MN",2,45.9,93.9,N
"St.Louis,MO",24,39.3,90.5,N
"Helena,MT",8,47.1,112.4,N
"Omaha,NE",13,41.9,96.1,N
"Concord,NH",11,43.5,71.9,Y
"Atlantic_City,NJ",27,39.8,75.3,Y
"Albuquerque,NM",24,35.1,106.7,N
"Albany,NY",14,42.6,73.7,Y
"New_York,NY",27,40.8,74.6,Y
"Charlotte,NC",34,35.9,81.5,Y
"Raleigh,NC",31,36.4,78.9,Y
"Bismarck,ND",0,47.1,101,N
"Cincinnati,OH",26,39.2,85,Y
"Cleveland,OH",21,42.3,82.5,Y
"Oklahoma_City,OK",28,35.9,97.5,N
"Portland,OR",33,45.6,123.2,N
"Harrisburg,PA",24,40.9,77.8,Y
"Philadelphia,PA",24,40.9,75.5,Y
"Charleston,SC",38,33.3,80.8,Y
"Nashville,TN",31,36.7,87.6,Y
"Amarillo,TX",24,35.6,101.9,N
"Galveston,TX",49,29.4,95.5,N
"Houston,TX",44,30.1,95.9,N
"Salt_Lake_City,UT",18,41.1,112.3,N
"Burlington,VT",7,45,73.9,Y
"Norfolk,VA",32,37,76.6,Y
"Seattle,WA",33,48.1,122.5,N
"Spokane,WA",19,48.1,117.9,N
"Madison,WI",9,43.4,90.2,N
"Milwaukee,WI",13,43.3,88.1,N
"Cheyenne,WY",14,41.2,104.9,N
